location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,price_per_meter
Московская область,sale,flat,3,5,2,71.3,39950000.0,Курортный, Максима Горького,2Ас3,,Russian seasons,2020,-1.0,-1,-1.0,-1,"28,4 м²","26,4 м²",560308.5553997195
Московская область,sale,flat,21,22,2,41.71,5901000.0,мкр. Приморский, Рассветная,,,Малина,2022,-1.0,Монолитный,-1.0,"Без отделки, предчистовая, черновая, чистовая",-1,20 м²,141476.86406137617
Московская область,sale,flat,6,9,2,47.0,13300000.0,Василеостровский, Кораблестроителей,19К1,Приморская,,1974,-1.0,-1,-1.0,-1,-1,8 м²,282978.72340425535
Московская область,sale,flat,5,28,-1,31.0,16200000.0,Филевский парк, Василисы Кожиной,13,Парк Победы,Квартал апартаментов Match Point,-1,-1.0,-1,-1.0,-1,17 м²,8 м²,522580.6451612903
Московская область,sale,flat,3,15,1,40.7,5700000.0,,,,,Супонево,2013,-1.0,-1,-1.0,-1,18 м²,12 м²,140049.14004914003
Московская область,sale,flat,12,14,1,31.0,10900000.0,Дагомыс пгт, Старошоссейная,5к2,,Каравелла Португалии,2020,-1.0,-1,-1.0,-1,-1,-1,351612.9032258064
Московская область,sale,flat,7,17,3,70.0,27500000.0,Центральный, Чайковского,2Б,,,2011,-1.0,-1,-1.0,-1,42 м²,25 м²,392857.14285714284
Московская область,sale,flat,4,9,3,70.0,32000000.0,Ломоносовский,Ленинский проспект,89/2,Новаторская,,1960,-1.0,-1,-1.0,-1,-1,10 м²,457142.85714285716
Московская область,sale,flat,2,7,2,134.71,323304000.0,Арбат,Крестовоздвиженский переулок,4,Арбатская,Luce - фамильный дом,2026,-1.0,Монолитно-кирпичный,-1.0,"Предчистовая, чистовая","28,9 м²","25,2 м²",2400000.0
Московская область,sale,flat,5,7,3,74.0,41500000.0,"Кв-ра ""под ключ"" в Басманном е3-комн. квартира",74 м²,5/7 этаж,,,1928,-1.0,-1,-1.0,-1,49 м²,7 м²,560810.8108108108
