location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters
Московская область,sale,flat,7,9,1,32.44,5155040.0,Колпинский,Заречье тер.,23.840736040609137,Рыбацкое,Квартал Заречье,2026,-1.0,Монолитный,-1.0,Чистовая,"12,3 м²",11 м²
Московская область,sale,flat,33,41,1,46.0,21000000.0,Хорошево-Мневники,Шелепихинская набережная,23.840736040609137,Шелепиха,Сердце Столицы,2024,-1.0,-1,-1.0,-1,18 м²,23 м²
Московская область,sale,flat,2,12,1,41.0,11700000.0,Соколиная гора,Вольная ,4.0,Семёновская,,1960,-1.0,-1,-1.0,-1,21 м²,10 м²
Московская область,sale,flat,2,4,1,35.95,4505000.0,,Ленинградский проспект,23.840736040609137,,Микрорайон Новая Елизаветка,2024,-1.0,-1,-1.0,Без отделки,-1,"11,4 м²"
Московская область,sale,flat,2,25,1,29.9,7200000.0,,Юбилейный проспект,68.0,Никольское,Новокосино-2,-1,-1.0,-1,-1.0,-1,-1,8 м²
Московская область,sale,flat,2,24,1,30.3,5322250.0,Прикубанский, Имени Героя Георгия Бочарникова,23.840736040609137,,Улыбка,2024,-1.0,Монолитно-кирпичный,-1.0,"Без отделки, предчистовая, черновая, чистовая",-1,"9,3 м²"
Московская область,sale,flat,7,16,1,24.0,9450000.0,, Сальвадора Дали,23.840736040609137,Прокшино,,2022,-1.0,-1,-1.0,-1,15 м²,9 м²
Московская область,sale,flat,2,17,1,35.78,8766100.0,Советский,ПК1-2,23.840736040609137,Горки,Мой Ритм ЖК,2026,-1.0,"Монолитно-кирпичный, монолитный",-1.0,"Без отделки, предчистовая","15,9 м²","9,6 м²"
Московская область,sale,flat,9,17,1,36.8,7600000.0,, Декабристов,8.0,ВДНХ,На высоте,-1,-1.0,-1,-1.0,-1,18 м²,10 м²
Московская область,sale,flat,4,33,1,42.9,23600000.0,Останкинский, Годовикова,23.840736040609137,Алексеевская,iLove,-1,-1.0,-1,-1.0,-1,"22,9 м²",15 м²
Московская область,sale,flat,2,24,1,38.8,7398000.0,,Ленинградский проспект,23.840736040609137,,Айвазовский City,2026,-1.0,"Монолитно-кирпичный, монолитный",-1.0,"Предчистовая, черновая, чистовая","12,1 м²","14,8 м²"
Московская область,sale,flat,10,11,-1,40.5,10969344.0,Василеостровский,проспект Средний Васильевского острова,23.840736040609137,Василеостровская,Клубные апартаменты Next,2020,-1.0,-1,-1.0,-1,-1,-1
Московская область,sale,flat,6,8,-1,27.8,12927000.0,Петроградский,проспект Малый Петроградской стороны,23.840736040609137,Петроградская,,2023,-1.0,-1,-1.0,-1,"12,5 м²",-1
Московская область,sale,flat,5,9,1,25.0,4775000.0,Прикубанский, Западный обход,23.840736040609137,,Sport Village,2024,-1.0,"Монолитно-кирпичный, монолитный",-1.0,"Предчистовая, чистовая",-1,-1
Московская область,sale,flat,2,44,1,31.61,14381127.0,Кунцево,48-й кв-л,23.840736040609137,Кунцевская,Кутузовский Квартал ЖК,2027,-1.0,Монолитный,-1.0,"Без отделки, предчистовая","9,4 м²",-1
Московская область,sale,flat,22,25,1,33.3,5350000.0,Пролетарский,Театральный проспект,23.840736040609137,,Панорама на Театральном,2026,-1.0,-1,-1.0,Черновая,-1,-1
Московская область,sale,flat,21,40,3,84.2,38500000.0,Даниловский,бульвар Братьев Весниных,1.0,ЗИЛ,ЗИЛАРТ,2023,-1.0,-1,-1.0,-1,60 м²,20 м²
Московская область,sale,flat,16,24,3,91.0,22800000.0,Южное Бутово,Скобелевская ,23.840736040609137,Улица Скобелевская,,-1,-1.0,-1,-1.0,-1,45 м²,12 м²
