location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,house_material_type,living_meters,kitchen_meters
Москва,sale,flat,4,5,2,41.0,18950000.0,Мещанский,Трифоновская ,55,Рижская,Lucky,1963.0,Монолитный,28 м²,6 м²
Москва,sale,flat,4,27,2,65.91,44571000.0,Крылатское,Крылатская ,23,Молодёжная,Дом Горизонтов,2027.0,Монолитно-кирпичный,"43,3 м²","17,6 м²"
Москва,sale,flat,5,24,2,75.0,48000000.0,Хорошево-Мневники,Шелепихинская набережная,23,Шелепиха,Сердце Столицы,2021.0,Кирпичный,38 м²,22 м²
Москва,sale,flat,4,44,2,60.0,39900000.0,Даниловский,Дубининская ,23,Павелецкая,Павелецкая Сити,2023.0,Монолитно-кирпичный,40 м²,16 м²
Москва,sale,flat,2,11,2,47.0,25295400.0,Пресненский,Ленинградский проспект,23,Серебряный Бор,Сберсити ЖК,2026.0,Монолитно-кирпичный,"25,5 м²",6 м²
Москва,sale,flat,3,14,3,138.9,236130000.0,Хамовники,переулок 1-й Тружеников,16,Киевская,Brodsky,2021.0,Монолитный,-1,-1
Москва,sale,flat,11,22,2,80.0,34899000.0,Черемушки,Севастопольский проспект,23,Зюзино,Lucky,2009.0,Кирпичный,40 м²,"35,5 м²"
Москва,sale,flat,7,18,3,84.9,60621401.0,Донской,2-й Донской проезд,10,Ленинский проспект,SHIFT,2028.0,Монолитный,-1,-1
Москва,sale,flat,14,15,3,133.91,227647000.0,Хамовники, Усачева,15,Спортивная,Садовые кварталы,2022.0,Монолитно-кирпичный,"98,9 м²",30 м²
Москва,sale,flat,6,12,3,120.9,72200000.0,Мещанский,Протопоповский переулок,23,Проспект Мира,Lucky,2004.0,Монолитный,93 м²,15 м²
Москва,sale,flat,2,6,3,118.66,195551680.0,Замоскворечье,Космодамианская набережная,23,Новокузнецкая,Клубный дом Космо 4/22,2024.0,Монолитно-кирпичный,48 м²,"32,6 м²"
Москва,sale,flat,27,53,3,124.0,118000000.0,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской,2011.0,Панельный,86 м²,"17,3 м²"
Москва,sale,flat,4,21,3,99.0,140000000.0,Якиманка,Донская ,14,Шаболовская,Медный 3.14,2021.0,Монолитно-кирпичный,58 м²,9 м²
Москва,sale,flat,9,28,3,87.7,32115301.0,Даниловский,Ленинградский проспект,23,Павелецкая,Павелецкая Сити ЖК,2027.0,"Монолитно-кирпичный, монолитный, кирпичный","57,7 м²",-1
Москва,sale,flat,5,7,3,74.9,41500000.0,Басманный, Земляной Вал,23,Курская,Lucky,2021.0,Монолитно-кирпичный,-1,-1
Москва,sale,flat,4,26,2,55.5,19288526.0,Соколиная гора,Ленинградский проспект,23,Соколиная гора,Семеновский Парк 2 ЖК,2025.0,Монолитный,"25,9 м²","21,8 м²"
Москва,sale,flat,3,14,2,106.9,160350000.0,Хамовники,переулок 1-й Тружеников,16,Киевская,Brodsky,2021.0,Панельный,-1,-1
Москва,sale,flat,6,9,2,60.0,18500000.0,Пресненский, Ясеневая,23,Ольховая,Дубровка,2013.0,Монолитно-кирпичный,25 м²,25 м²
Москва,sale,flat,9,14,3,102.0,133500000.0,Хамовники, Усачева,23,Спортивная,Садовые кварталы,2022.0,Кирпичный,71 м²,15 м²
Москва,sale,flat,14,22,3,84.0,45000000.0,Свиблово,Сельскохозяйственная ,23,Ботанический сад,LIFE-Ботанический сад,2020.0,Монолитный,40 м²,11 м²
Москва,sale,flat,3,11,3,85.9,77617693.0,Даниловский,Ленинградский проспект,23,Павелецкая,Опус ЖК,2025.0,Монолитно-кирпичный,-1,-1
Москва,sale,flat,6,15,3,140.0,300000000.0,Хамовники, Усачева,15,Спортивная,Садовые кварталы,2021.0,Панельный,-1,"18,5 м²"
Москва,sale,flat,2,21,3,66.59,14137723.0,Нижегородский,Ленинградский проспект,23,Калитники,Н'айс Лофт ЖК,2024.0,Монолитно-кирпичный,-1,-1
Москва,sale,flat,5,35,3,95.73,40514371.0,Котловка,31/2,23,Профсоюзная,Новые Академики ЖК,2027.0,Монолитный,"61,6 м²","9,1 м²"
Москва,sale,flat,5,12,3,136.9,250000000.0,Хамовники, Усачева,13,Спортивная,Садовые кварталы,2021.0,Монолитно-кирпичный,-1,"20,6 м²"
